0x82002FF0	Enable Season Ticket
0x820030AC	Max bulk free agent download
0x82003118	Max draft round for random draft
0x820038FC	PK_GENERATE_OFFENSE
0x82003C7C	GENERATE_OFFENSE
0x82003CEC	CLINCH_PLAYOFF_BERTH
0x82003EE4	NHLEntryDraft
0x82003EF4	RegularSeason
0x82003F64	TXT_PLAYOFF_LEAGUE_BRACKET
0x82003F80	TXT_PLAYOFF_LEAGUE_RESEED
0x82003F9C	TXT_PLAYOFF_CONFERENCE_BRACKET
0x82003FBC	TXT_PLAYOFF_CONFERENCE_RESEED
0x82003FDC	TXT_PLAYOFFTYPE_DIVISIONAL
0x8200408C	defaultdraft
0x820042E8	Potential
0x82004318	Overall
0x82004324	WhlPlayoffMvpTrophy
0x82004668	LesterBPearsonAward
0x82004A2C	PROSPECT_TEAMS
0x82004B04	Rookie_Difficulty
0x820056D4	gMaxDekeRatingForLPD
0x820071A8	gBlownTiresMaxRatingBias
0x82009A60	gConglomeratedAccelRatingReqForStandardRatedHustle
0x82009A94	gConglomeratedAccelRatingReqForHighRatedHustle
0x82009AC4	Animation/Skating/Accels/Hustles/Ratings
0x8200A2A4	gSlowSpeedMinEffortToStartStandingTurnHyst
0x8200A2D0	gSlowSpeedMinEffortToStartStandingTurn
0x8200DCD4	Lowest Normallized Goalie Rating
0x8200ECAC	Physics/ITK/Simulation
0x8200F2F8	TXT_SIMULATION_PRESET
0x8200F338	TXT_SIMULATION_STYLE
0x82014848	Trades
0x820148B8	Info: TeamId=%d ProId=%d ContractStatus=%d NeedsEntryLevel=%d ContractValue=%d ContractLength=%d IsTwoWay=%d <br />
0x82014D73	hGameEvent::GoalAwarded
0x82015288	wrapAroundInProgress=%d isBreakawaySituation=%d hasPuck=%d teamMateHasPuck=%d opponentHasPuck=%d isInCrease=%d 
0x820152F8	framesShotInProgress=%d framesAfterSave=%d framesScreened=%d 
0x820161B4	NHL Sim Thread
0x820179CC	SeasonCup
0x820179D8	SeasonDivision
0x82017B8C	Force the sim loop to run at least this many frames every loop
0x8201F3B8	FighterRatingBoost
