library,ordinal,name,kind,slot_va,thunk_va
xam.xex,1,NetDll_WSAStartup,function,0x82000580,0x836D7FBC
xam.xex,2,NetDll_WSACleanup,function,0x8200057C,0x836D7FCC
xam.xex,3,NetDll_socket,function,0x82000578,0x836D7FDC
xam.xex,4,NetDll_closesocket,function,0x82000574,0x836D7FEC
xam.xex,5,NetDll_shutdown,function,0x82000570,0x836D7FFC
xam.xex,6,NetDll_ioctlsocket,function,0x8200056C,0x836D800C
xam.xex,7,NetDll_setsockopt,function,0x82000568,0x836D801C
xam.xex,9,NetDll_getsockname,function,0x82000564,0x836D802C
xam.xex,10,NetDll_getpeername,function,0x82000560,0x836D803C
xam.xex,11,NetDll_bind,function,0x8200055C,0x836D804C
xam.xex,12,NetDll_connect,function,0x82000558,0x836D805C
xam.xex,14,NetDll_accept,function,0x82000554,0x836D806C
xam.xex,15,NetDll_select,function,0x82000550,0x836D807C
xam.xex,16,NetDll_WSAGetOverlappedResult,function,0x8200054C,0x836D808C
xam.xex,18,NetDll_recv,function,0x82000548,0x836D809C
xam.xex,19,NetDll_WSARecv,function,0x82000544,0x836D80AC
xam.xex,20,NetDll_recvfrom,function,0x82000540,0x836D80BC
xam.xex,21,NetDll_WSARecvFrom,function,0x8200053C,0x836D80CC
xam.xex,22,NetDll_send,function,0x82000538,0x836D80DC
xam.xex,24,NetDll_sendto,function,0x82000534,0x836D80EC
xam.xex,26,NetDll_inet_addr,function,0x82000530,0x836D80FC
xam.xex,27,NetDll_WSAGetLastError,function,0x8200052C,0x836D810C
xam.xex,29,NetDll_WSACreateEvent,function,0x82000528,0x836D811C
xam.xex,30,NetDll_WSACloseEvent,function,0x82000524,0x836D812C
xam.xex,31,NetDll_WSASetEvent,function,0x82000520,0x836D813C
xam.xex,32,NetDll_WSAResetEvent,function,0x8200051C,0x836D814C
xam.xex,33,NetDll_WSAWaitForMultipleEvents,function,0x82000518,0x836D815C
xam.xex,51,NetDll_XNetStartup,function,0x820005CC,0x836D7E8C
xam.xex,52,NetDll_XNetCleanup,function,0x820005C8,0x836D7E9C
xam.xex,53,NetDll_XNetRandom,function,0x820005C4,0x836D7EAC
xam.xex,54,NetDll_XNetCreateKey,function,0x820005C0,0x836D7EBC
xam.xex,55,NetDll_XNetRegisterKey,function,0x820005BC,0x836D7ECC
xam.xex,56,NetDll_XNetUnregisterKey,function,0x820005B8,0x836D7EDC
xam.xex,57,NetDll_XNetXnAddrToInAddr,function,0x820005B4,0x836D7EEC
xam.xex,58,NetDll_XNetServerToInAddr,function,0x820005B0,0x836D7EFC
xam.xex,63,NetDll_XNetUnregisterInAddr,function,0x820005AC,0x836D7F0C
xam.xex,65,NetDll_XNetConnect,function,0x820005A8,0x836D7F1C
xam.xex,66,NetDll_XNetGetConnectStatus,function,0x820005A4,0x836D7F2C
xam.xex,67,NetDll_XNetDnsLookup,function,0x820005A0,0x836D7F3C
xam.xex,68,NetDll_XNetDnsRelease,function,0x8200059C,0x836D7F4C
xam.xex,69,NetDll_XNetQosListen,function,0x82000598,0x836D7F5C
xam.xex,70,NetDll_XNetQosLookup,function,0x82000594,0x836D7F6C
xam.xex,71,NetDll_XNetQosServiceLookup,function,0x82000590,0x836D7F7C
xam.xex,72,NetDll_XNetQosRelease,function,0x8200058C,0x836D7F8C
xam.xex,73,NetDll_XNetGetTitleXnAddr,function,0x82000588,0x836D7F9C
xam.xex,75,NetDll_XNetGetEthernetLinkStatus,function,0x82000584,0x836D7FAC
xam.xex,112,NetDll_XnpLogonGetStatus,function,0x82000430,0x836D821C
xam.xex,309,XNetLogonGetMachineID,function,0x82000500,0x836D81BC
xam.xex,310,XNetLogonGetTitleID,function,0x820004FC,0x836D81CC
xam.xex,400,XamInputGetCapabilities,function,0x820004AC,0x836D747C
xam.xex,401,XamInputGetState,function,0x820004B0,0x836D748C
xam.xex,402,XamInputSetState,function,0x820004B4,0x836D749C
xam.xex,408,XamInputGetKeystrokeEx,function,0x820004B8,0x836D74AC
xam.xex,420,XamLoaderLaunchTitle,function,0x82000450,0x836D730C
xam.xex,425,XamLoaderTerminateTitle,function,0x8200040C,0x836D711C
xam.xex,431,XamTaskSchedule,function,0x820004F4,0x836D759C
xam.xex,433,XamTaskCloseHandle,function,0x820004F0,0x836D758C
xam.xex,435,XamTaskShouldExit,function,0x820004EC,0x836D757C
xam.xex,490,XamAlloc,function,0x82000510,0x836D817C
xam.xex,492,XamFree,function,0x82000504,0x836D81AC
xam.xex,500,XMsgInProcessCall,function,0x820004E0,0x836D754C
xam.xex,501,XMsgCompleteIORequest,function,0x820005D0,0x836D82AC
xam.xex,503,XMsgStartIORequest,function,0x82000454,0x836D731C
xam.xex,504,XMsgCancelIORequest,function,0x820004A8,0x836D746C
xam.xex,507,XamGetOverlappedResult,function,0x82000410,0x836D829C
xam.xex,508,XMsgStartIORequestEx,function,0x82000414,0x836D828C
xam.xex,520,XamUserGetDeviceContext,function,0x82000428,0x836D823C
xam.xex,522,XamUserGetXUID,function,0x82000470,0x836D738C
xam.xex,526,XamUserGetName,function,0x82000458,0x836D732C
xam.xex,528,XamUserGetSigninState,function,0x8200045C,0x836D733C
xam.xex,530,XamUserCheckPrivilege,function,0x82000464,0x836D735C
xam.xex,531,XamUserAreUsersFriends,function,0x82000460,0x836D734C
xam.xex,535,XamUserGetMembershipTierFromXUID,function,0x82000440,0x836D81DC
xam.xex,536,XamUserGetOnlineCountryFromXUID,function,0x8200043C,0x836D81EC
xam.xex,537,XamUserReadProfileSettings,function,0x82000514,0x836D816C
xam.xex,551,XamUserGetSigninInfo,function,0x820004DC,0x836D753C
xam.xex,590,XamCreateEnumeratorHandle,function,0x82000508,0x836D819C
xam.xex,591,XamGetPrivateEnumStructureFromHandle,function,0x8200050C,0x836D818C
xam.xex,592,XamEnumerate,function,0x820004BC,0x836D74BC
xam.xex,601,XamContentCreateEx,function,0x820004C4,0x836D74DC
xam.xex,602,XamContentClose,function,0x820004C8,0x836D74EC
xam.xex,604,XamContentCreateEnumerator,function,0x820004D0,0x836D750C
xam.xex,606,XamContentGetDeviceData,function,0x820004D8,0x836D752C
xam.xex,613,XamContentGetDeviceState,function,0x820004D4,0x836D751C
xam.xex,614,XamContentGetLicenseMask,function,0x820004CC,0x836D74FC
xam.xex,640,XamGetExecutionId,function,0x820004F8,0x836D75AC
xam.xex,642,XamGetSystemVersion,function,0x82000468,0x836D736C
xam.xex,650,XamNotifyCreateListener,function,0x820004A4,0x836D745C
xam.xex,651,XNotifyGetNext,function,0x82000444,0x836D72DC
xam.xex,700,XamShowSigninUI,function,0x82000474,0x836D739C
xam.xex,703,XamShowFriendsUI,function,0x82000478,0x836D73AC
xam.xex,704,XamShowMessagesUI,function,0x8200047C,0x836D73BC
xam.xex,705,XamShowKeyboardUI,function,0x82000480,0x836D73CC
xam.xex,710,XamShowPlayerReviewUI,function,0x82000488,0x836D73EC
xam.xex,711,XamShowMarketplaceUI,function,0x8200048C,0x836D73FC
xam.xex,714,XamShowMessageBoxUI,function,0x82000494,0x836D741C
xam.xex,715,XamShowDeviceSelectorUI,function,0x82000490,0x836D740C
