gSpeedBoostMaxAutoBoost	Misc		Speed Boost Max Auto Boost	f	t					Maximum speed boost value that can be applied automatically by the AI.
gSpeedBoostAutoBoostAngleTolerance	Misc		Speed Boost Auto-Boost Angle Tolerance	f	t				deg	Maximum angle deviation from straight ahead that still triggers the auto speed boost.
gSpeedBoostAutoBoostPerStraightAheadFrame	Misc		Speed Boost Per Straight-Ahead Frame	f	t				x	Amount of speed boost energy added per frame while skating straight ahead.
gSpeedBoostAutoBoostNumStraightFramesToTrigger	Misc		Speed Boost Auto-Boost Trigger Frames	i	t				frames	Consecutive straight-skating frames required to trigger the auto speed boost.
gAutoBoostEqualsClick	Misc		Auto Boost Equals Click	f	t					Equivalence value mapping auto-boost activation to a manual boost click magnitude.
gTimeForTooTired	Misc		Time to Look Too Tired	f	t				sec	Duration in seconds a player must be fatigued before visually appearing too tired.
gSpeedBoostEnergyToLookTired	Misc		Speed Boost Energy: Look Tired Threshold	f	t					Energy level below which the player appears visually tired during speed boost.
gNumStraightFramesReqForBoost	Misc		Straight Frames Required for Boost	i	t				frames	Consecutive straight-skating frames needed before a speed boost activates.
gSpeedBoostMaxRepeatRate	Misc		Speed Boost Max Repeat Rate	f	t					Maximum rate at which the speed boost can be re-triggered per unit time.
gSpeedBoostLowEffortTicksForDeactivation	Misc		Speed Boost Low-Effort Ticks to Deactivate	f	t				ticks	Number of low-effort ticks required before speed boost deactivates.
gSpeedBoostMaxPlaybackRate	Misc		Speed Boost Max Animation Playback Rate	f	t				x	Maximum animation playback rate multiplier during speed boost.
gSpeedBoostPerFrameDropLowEffort	Misc		Speed Boost Decay Per Frame (Low Effort)	f	t					Amount of speed boost energy lost each frame during low-effort skating.
gSpeedBoostEnergyMaxSpeedScale	Misc		Speed Boost Energy Max Speed Scale	f	t				x	Speed scale multiplier applied when speed boost energy is at maximum.
gSpeedBoostEnergyMinSpeedScale	Misc		Speed Boost Energy Min Speed Scale	f	t				x	Speed scale multiplier applied when speed boost energy is at minimum.
gSpeedBoostEnergyForMaxSpeed	Misc		Speed Boost Energy for Max Speed	f	t				x	Energy level required to reach maximum speed in speed-boost mode.
gSpeedBoostEnergyForMinSpeed	Misc		Speed Boost Energy for Min Speed	f	t					Energy level at which speed boost produces only minimum speed benefit.
gSpeedBoostEnergyMaxAccelScale	Misc		Speed Boost Energy Max Acceleration Scale	f	t				x	Acceleration scale multiplier applied when speed boost energy is at maximum.
gSpeedBoostEnergyMinAccelScale	Misc		Speed Boost Energy Min Acceleration Scale	f	t				x	Acceleration scale multiplier applied when speed boost energy is at minimum.
gSpeedBoostEnergyForMaxAccel	Misc		Speed Boost Energy for Max Acceleration	f	t				x	Energy level required to reach maximum acceleration in speed-boost mode.
gSpeedBoostEnergyForMinAccel	Misc		Speed Boost Energy for Min Acceleration	f	t				x	Energy level at which minimum acceleration is applied in speed-boost mode.
gSpeedBoostPerFrameDrop	Misc		Speed Boost Decay Per Frame	f	t					Amount of speed boost energy lost each frame during normal skating.
gSpeedBoostTopFatigueRate	Misc		Speed Boost Top Fatigue Rate	f	t					Fatigue drain rate applied when skating at top speed boost level.
gSpeedBoostTopSpeedMaxAttrib	Misc		Speed Boost Top Speed Max Attribute	f	t					Player attribute value at which top speed boost is fully realized.
gSpeedBoostTopSpeedMinAttrib	Misc		Speed Boost Top Speed Min Attribute	f	t					Player attribute value below which top speed boost does not scale further.
gSpeedBoostTopAccelMaxAttrib	Misc		Speed Boost Top Acceleration Max Attribute	f	t					Player attribute value at which top acceleration boost is fully realized.
gSpeedBoostTopAccelMinAttrib	Misc		Speed Boost Top Acceleration Min Attribute	f	t					Player attribute value below which top acceleration boost does not scale further.
gSpeedBoostMaxPuckControlPenaltyMult	Misc		Speed Boost Max Puck Control Penalty Multiplier	f	t				x	Multiplier for the puck-control penalty applied at maximum speed boost.
gSpeedBoostForMinPuckControl	Misc		Speed Boost Min Puck Control	f	t					Puck control value at which speed boost effect begins scaling up.
gSpeedBoostForMaxPuckControl	Misc		Speed Boost Max Puck Control	f	t					Puck control value at which speed boost reaches its full effect.
gSpeedBoostForBaseSpeed	Misc		Speed Boost Base Speed	f	t				x	Base speed bonus granted by the speed boost mechanic.
gSpeedBoostForTopSpeed	Misc		Speed Boost Top Speed	f	t				x	Top-end speed bonus achievable through the speed boost.
gSpeedBoostForBaseAccel	Misc		Speed Boost Base Acceleration	f	t				x	Base acceleration bonus granted by the speed boost mechanic.
gSpeedBoostForTopAccel	Misc		Speed Boost Top Acceleration	f	t				x	Top-end acceleration bonus achievable through the speed boost.
gSpeedBoostHighEffortCutoff	Misc		Speed Boost High Effort Cutoff	f	t					Effort threshold above which speed boost is considered high-effort skating.
gSpeedBoostForIncreasedFatigueMax	Misc		Speed Boost Increased Fatigue Max	f	t					Maximum additional fatigue rate incurred while speed boosting.
gSpeedBoostForIncreasedFatigueMin	Misc		Speed Boost Increased Fatigue Min	f	t					Minimum additional fatigue rate incurred while speed boosting.
gSpeedBoostMax	Misc		Speed Boost Maximum	f	t					Maximum speed boost value a skater can accumulate.
gSpeedBoostMin	Misc		Speed Boost Minimum	f	t					Minimum speed boost value, setting the floor for the boost effect.
gSpeedBoostEffortForDeactivation	Misc		Speed Boost Deactivation Effort	f	t				x	Effort threshold below which the speed boost system deactivates.
gSpeedBoostPerClick	Misc		Speed Boost Per Click	f	t					Amount of speed boost energy added per player input click.
gChemistry13BetaHack	Unicorn	Test	Chemistry Beta Hack (Test)	f	t					Internal test hack value related to chemistry system tuning; do not change in production.
gLatAccelSpeedEffectMin2	Misc		Lateral Acceleration Speed Effect Min 2	f	t					Secondary lower bound on the lateral acceleration speed effect (alternate curve).
gLatAccelSpeedEffectMax2	Misc		Lateral Acceleration Speed Effect Max 2	f	t					Secondary upper cap on the lateral acceleration speed effect (alternate curve).
gSpeedForMinLatAccel2	Misc		Speed for Min Lateral Acceleration 2	f	t					Secondary skating speed threshold for minimum lateral acceleration lookup.
gSpeedForMaxLatAccel2	Misc		Speed for Max Lateral Acceleration 2	f	t					Secondary skating speed threshold for maximum lateral acceleration lookup.
gLatAccelSpeedEffectMin	Misc		Lateral Acceleration Speed Effect Min	f	t					Lower bound on the speed effect applied during lateral acceleration.
gLatAccelSpeedEffectMax	Misc		Lateral Acceleration Speed Effect Max	f	t					Upper cap on the speed boost applied during maximum lateral acceleration.
gSpeedForMinLatAccel	Misc		Speed for Min Lateral Acceleration	f	t					Skating speed at which minimum lateral acceleration is applied.
gSpeedForMaxLatAccel	Misc		Speed for Max Lateral Acceleration	f	t					Skating speed at which maximum lateral (sideways) acceleration is applied.
gAccelSpeedEffectMin	Misc		Acceleration Speed Effect Min	f	t				x	Lower bound of the speed-effect multiplier applied during player acceleration.
gAccelSpeedEffectMax	Misc		Acceleration Speed Effect Max	f	t				x	Upper bound of the speed-effect multiplier applied during player acceleration.
gSpeedForMinAccel	Misc		Speed for Min Acceleration	f	t					Skating speed at which the minimum acceleration value is applied.
gSpeedForMaxAccel	Misc		Speed for Max Acceleration	f	t					Skating speed at which the maximum acceleration value is applied.
gBackwardAccelerationFudgeFactor	Misc		Backward Acceleration Fudge Factor	f	t				x	Corrective multiplier applied to backward skating acceleration in the skate model.
gStoppingBaseAccelerationMultiplier	Misc		Stopping Base Acceleration Multiplier	f	t				x	Multiplier applied to base acceleration when a player is decelerating to a stop.
gStoppingAttribAccelerationDilution	Misc		Stopping Attribute Acceleration Dilution	f	t				x	Fraction by which player attribute contribution to acceleration is reduced during stopping.
